eventType,attribute,description
MobileSession,sessionDuration,"The length of time for which the user used the application in seconds. If the session crashes, sessionDuration is not captured (although other events and attributes are still recorded)."
MobileSession,sessionId,A unique identifier for a single user session. A new sessionId is created each time the app is brought into the foreground.
MobileSession,timeSinceLoad,"The time, in seconds, from the beginning of the mobile session to the time the event occurred."
MobileSession,timestamp,The UTC epoch time at which an event began.
MobileSession,upgradeFrom,Indictates previous version number only if this is the first launch after app upgrade.
MobileSession,uuid,A unique identifier for a specific app on a particular device. Also found in deviceUuid. Resets on reinstallation of the app. For example: B8B0BC30-0235-11E4-9191-0800200C9A66
NetworkSample,agentName,The name of the agent (Infrastructure).
NetworkSample,agentVersion,The version of the New Relic Infrastructure agent.
NetworkSample,entityID,New Relic's unique ID number for the entity that is reporting data. This is used by New Relic to distinguish between customers and their entities.
NetworkSample,fullHostname,The fully qualified (DNS) hostname.
NetworkSample,hardwareAddress,The unique hardware address of the interface.
NetworkSample,hostname,The short version of the entity's name.
NetworkSample,interfaceName,The interface name as reported by the operating system.
NetworkSample,ipV4Address,The IP version 4 address.
NetworkSample,ipV6Address,The IP version 6 address.
NetworkSample,kernelVersion,"The Linux kernel version, in string format."
NetworkSample,linuxDistribution,The name of the Linux distribution the server is using.
NetworkSample,operatingSystem,The operating system on which the agent is installed.
NetworkSample,operatingSystem,The operating system on which the agent is installed.
NetworkSample,receiveBytesPerSecond,The number of bytes per second received during the sampling period.
NetworkSample,receiveDroppedPerSecond,The number of received packets per second dropped during the sampling period.
NetworkSample,receiveErrorsPerSecond,The number of receive errors per second on the interface during the sampling period.
NetworkSample,receivePacketsPerSecond,The number of packets per second (as defined by OS) received during the sampling period.
NetworkSample,state,The state of the entity: either up or down.
NetworkSample,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
NetworkSample,transmitBytesPerSecond,The number of bytes sent per second during the sampling period.
NetworkSample,transmitDroppedPerSecond,The number of dropped send packets per second during the sampling period.
NetworkSample,transmitErrorsPerSecond,The number of send errors per second on the interface during the sampling period.
NetworkSample,transmitPacketsPerSecond,The number of packets per second as defined by OS) sent during this sampling period.
NetworkSample,windowsFamily,The Windows family indicates whether the OS is a server or desktop targeted system.
NetworkSample,windowsPlatform,The full product name of the installed version of Windows.
NetworkSample,windowsVersion,The combined Windows version and build-number string of the OS.
NrAuditEvent,actionIdentifier,Indicates an action that was taken in a New Relic account.
NrAuditEvent,actorAPIKey,ID of the API key taking action. The API key is partially obfuscated to ensure privacy of the key.
NrAuditEvent,actorEmail,Email address for the person who made the change.
NrAuditEvent,actorId,ID of the person taking action.
NrAuditEvent,actorIpAddress,The IP address for the person or API key where the action initiated.
NrAuditEvent,actorType,Identifies whether the action was initiated by a user (person) or with an API key that is not associated with a user.
NrAuditEvent,description,Human-readable description of the action taken. For example: Added name@company.com to roles Browser manager.
NrAuditEvent,id,Unique ID of the audit event.
NrAuditEvent,targetId,"ID of the object (targetType) that changed. For example, if the targetType is a user, this is the person's New Relic user ID."
NrAuditEvent,targetType,"The object that changed: account, role, or user."
NrAuditEvent,timestamp,Date and time the audit event occurred. Used to specify a day or range of dates.
NrDailyUsage,agentHostname,ID reported by the agent to uniquely identify the host for which this usage event is reported.
NrDailyUsage,apmAgentMemoryBytes,"Bytes of RAM available to the host, as detected by the New Relic agent from the host OS."
NrDailyUsage,apmAgentProcessorCount,"Number of logical CPU cores available to the host, as detected by the New Relic agent from the host OS."
NrDailyUsage,apmAgentVersion,Version of the New Relic APM agent running in the application instance reporting this usage.
NrDailyUsage,apmAppId,"ID uniquely identifying the application that is reporting this usage, as it appears in the APM product. Present only for events where usageType equals Application."
NrDailyUsage,apmAppInstanceId,ID uniquely identifying the application instance (the process running the New Relic APM agent).
NrDailyUsage,apmAppName,"Name of the application reporting this usage, as it appears in the APM product. Present only for events where usageType equals Application."
NrDailyUsage,apmBillingInstanceSize,"Size of the host, for CU-based billing purposes."
NrDailyUsage,apmCloudDerivedMemoryBytes,"Bytes of RAM available to the host, as defined by the cloud provider for the host's instance type."
NrDailyUsage,apmCloudDerivedProcessorCount,"Number of logical processors available to the host, as defined by the cloud provider for the host's instance type."
NrDailyUsage,apmComputeUnitRule,Describes the algorithm used to calculate the host size for CU usage.
NrDailyUsage,apmComputeUnits,Number of compute units (CUs) recorded for the given host.
NrDailyUsage,apmContainerCount,The number of unique container IDs associated with this host. Present only for events where usageType equals Host.
NrDailyUsage,apmHoursUsed,Number of hours for which usage was recorded for the given entity.
NrDailyUsage,apmLanguage,"Name of the language that the usage-reporting application is written in, as reported by the New Relic agent."
NrDailyUsage,apmMemoryBytes,Bytes of RAM available to the host. Used to calculate apmBillingInstanceSize.
NrDailyUsage,apmProcessorCount,"Number of logical processors available to the host, used to calculate apmBillingInstanceSize."
NrDailyUsage,bootId,"Linux boot ID of host for which this usage is reported, which is unique for each boot lifetime of each Linux operating system instance."
NrDailyUsage,browserAppId,"ID uniquely identifying the application reporting this usage, as it appears in the Browser product."
NrDailyUsage,browserPageViewCount,Number of page views for an application for that 24-hour period.
NrDailyUsage,cloudInstanceId,ID uniquely identifying the cloud host instance (example: an AWS EC2 instance) for which this usage is reported.
NrDailyUsage,cloudInstanceSize,Size of the cloud instance for this host for CU-based APM billing purposes.
NrDailyUsage,cloudInstanceType,Instance type of the host as defined by the cloud provider and detected by the agent.
NrDailyUsage,cloudProvider,"Name of the cloud provider for this host. Example values: aws, azure. This will not be present if no cloud provider was detected by the agent."
NrDailyUsage,cloudZone,Name of the zone that a cloud provider host is located in.
NrDailyUsage,consumingAccountId,"ID of the New Relic account that is directly responsible for the stored events, as determined from the license key used."
NrDailyUsage,consumingAccountName,"Name of the New Relic account that is directly responsible for the stored events, as determined from the license key used."
NrDailyUsage,containerId,ID of the Docker or other Linux container in which the application instance is running.
NrDailyUsage,hostId,ID used to uniquely identify the host for which this usage is reported.
NrDailyUsage,infrastructureAgentMemoryBytes,"Bytes of RAM available to the host, used to calculate infrastructureBillingInstanceSize."
NrDailyUsage,infrastructureAgentProcessorCount,"Number of logical CPU cores available to the host, used to calculate infrastructureBillingInstanceSize."
NrDailyUsage,infrastructureAgentVersion,Version of the Infrastructure agent running on the host reporting this usage.
NrDailyUsage,infrastructureBillingInstanceSize,"Size of the host, for CU billing purposes. Calculated as: number of processors multiplied by memory in gibibytes (GiB)."
NrDailyUsage,infrastructureCloudDerivedMemoryBytes,"Bytes of RAM available to the host, as reported by the cloud provider, used to calculate infrastructureBillingInstanceSize."
NrDailyUsage,infrastructureCloudDerivedProcessorCount,"Number of logical CPU cores available to the host, as reported by the cloud provider, used to calculate infrastructureBillingInstanceSize."
NrDailyUsage,infrastructureComputeUnitRule,Describes the algorithm used to calculate the host size for CU usage.
NrDailyUsage,infrastructureComputeUnits,Number of compute units (CUs) recorded for the given host.
NrDailyUsage,infrastructureHoursUsed,"Number of hours for which usage was recorded for the given host. When a host is connected to New Relic for any amount of time within a given hour, that hour is counted toward usage."
NrDailyUsage,insightsEventNamespace,"The type of event. For example: Transaction, MobileCrash, or SystemSample. Event namespaces are associated with a specific data retention period."
NrDailyUsage,insightsIncludedEventCount,Count of all events of the given insightsEventNamespace stored for the retention period included with a paid non-Insights product subscription.
NrDailyUsage,insightsIncludedRetentionInHours,Number of hours for which events of the given insightsEventNamespace are stored but are not counted toward your paid Insights Pro subscription.
NrDailyUsage,insightsNrProduct,"New Relic product (Insights, APM, Browser, Mobile, etc.) that corresponds to the given insightsEventNamespace."
NrDailyUsage,insightsTotalEventCount,Count of all events stored for the given insightsEventNamespace as of the given day.
NrDailyUsage,insightsTotalRetentionInHours,Number of hours for which events of the given insightsEventNamespace are stored.
NrDailyUsage,instanceSizeCapped,This is True if the calculated host size was greater than 16 and therefore capped.
NrDailyUsage,isPrimaryApp,Boolean. true means the application is the primary app. false means the app is one of several apps that an agent reports data for.
NrDailyUsage,masterAccountId,The ID of the master account that is either responsible for stored events or that is the parent of the consuming account.
NrDailyUsage,masterAccountName,"Name of the master account that is either responsible for stored events, or that is the parent of the consuming account."
NrDailyUsage,missingCpuData,This is True if the APM agent reports no CPU count.
NrDailyUsage,missingRamData,This is True if the APM agent reports no memory count.
NrDailyUsage,mobileAppId,"ID uniquely identifying the application reporting this usage, as it appears in the Mobile product."
NrDailyUsage,mobileAppName,"Name of the application reporting this usage, as it appears in the Mobile product."
NrDailyUsage,mobileUniqueUsersPerMonth,Number of unique users (device IDs) counted during the current calendar month to date for a Mobile app.
NrDailyUsage,partnershipId,Partner ID of the New Relic customer partnership associated with the account responsible for the stored events.
NrDailyUsage,partnershipName,Name of the New Relic customer partnership associated with the account responsible for the stored events.
NrDailyUsage,productLine,The New Relic product the usage data is from. Use this attribute to identify / filter for product specific usage data.
NrDailyUsage,subAccountId,"ID of the sub-account that is responsible for the stored event. When this attribute is present, subAccountId is the consumingAccountId."
NrDailyUsage,subAccountName,"Name of the sub-account responsible for stored events. When present, this attribute is the same as the consumingAccountName."
NrDailyUsage,syntheticsFailedCheckCount,Number of failed checks that ran on the given day for the given Synthetics monitor and location.
NrDailyUsage,syntheticsLocation,Location the check ran in.
NrDailyUsage,syntheticsLocationLabel,Human-readable label for the location of the check.
NrDailyUsage,syntheticsMonitorId,Unique ID of the monitor.
NrDailyUsage,syntheticsMonitorName,Name of the monitor.
NrDailyUsage,syntheticsSuccessCheckCount,Number of successful checks that ran on the given day for the given Synthetics monitor and location.
NrDailyUsage,syntheticsType,"The type of Synthetics monitor. Possible values: SIMPLE, BROWSER, SCRIPT_BROWSER, SCRIPT_API."
NrDailyUsage,syntheticsTypeLabel,"Human-readable label for syntheticsType. Possible values: Ping, Simple Browser, Scripted Browser, Scripted API."
NrDailyUsage,timestamp,UNIX timestamp (seconds since epoch) of the day and time when event generation was initiated.
NrDailyUsage,usageType,"For APM, this value can be either Application or Host, depending on the type of entity this event records usage for (other New Relic products will have different values for usageType)."
NrIntegrationError,apiKeyPrefix	,The first six characters of the Insert API key used for the request that generated an error.
NrIntegrationError,category,"The category of the error. For custom events, this is EventApiException."
NrIntegrationError,httpResponseCode,The HTTP response code associated with the transaction.
NrIntegrationError,message,Contents of the error message.
NrIntegrationError,name,"The error's name. For custom events, this is always EventValidationException."
NrIntegrationError,newRelicFeature,"The name of the feature experiencing errors. For all custom event parsing errors, this will be Event API."
NrIntegrationError,requestId	,The uuid returned by the the API for the request that generated an error.
NrIntegrationError,timestamp,"The timestamp when the request was received. The timestamp attribute takes an unformatted Unix timestamp. You can define timestamps either in seconds or in milliseconds, both relative to the Unix epoch."
PageAction,actionName,"The name of the PageAction, as defined by you in your code."
PageAction,appId,"The ID of your application, as recorded by New Relic."
PageAction,appName,The name of the application that handled the request as shown in New Relic Browser.
PageAction,asn,Autonomous System Number: a unique number identifying a group of IP networks that serves the content to the end-user.
PageAction,asnLatitude,The latitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's latitude.
PageAction,asnLongitude,The longitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's longitude.
PageAction,asnOrganization,"The organization that owns the Autonomous System Number. Often an ISP, sometimes a private company or institution."
PageAction,browserHeight,The height of the end user's browser window at the time when the PageAction occurred.
PageAction,browserWidth,The width of the end user's browser window at the time when the PageAction occurred.
PageAction,city,"The city in which the PageView event occurred, such as Portland or Seattle."
PageAction,countryCode,"The country from which the browser initiated the page load. For a list of country codes, see ISO 3166-1 alpha-2."
PageAction,currentUrl,The URL on which the PageAction is occurring. This URL may be different from the Page URL.
PageAction,deviceType,"The type of device that loaded the page: either mobile, tablet, or desktop."
PageAction,duration,The browser response time in seconds. Derived from the Navigation Timing API as loadEventEnd minus navigationStart. Inclusive of other duration measurements.
PageAction,name,The name of the invoked web transaction. For example: Controller/customers/show.
PageAction,pageUrl,The URL of the page that was loaded for the PageView. For example: http://www.newrelic.com. This URL does not include query parameters.
PageAction,referrerUrl,The URL of the page that loaded before the PageAction occurred.
PageAction,regionCode,"The specific administrative division within a country where the PageView event occurred. In the United States, regions correspond to state codes, such as WA or NY. Outside the United States, a country's regions correspond to numerical codes."
PageAction,session,A unique identifier for a single session. Sessions expire when the user closes the browser. A new identifier will be assigned when the user opens up a new browser window.
PageAction,timeSinceLoad,The time (in seconds) elapsed from when the page was requested to when the PageAction was created.
PageAction,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
PageAction,userAgentName,"The browser’s name, such as Chrome and Firefox, obtained from the “User-Agent” header of an HTTP request."
PageAction,userAgentOS,"The browser’s reported operating system, such as Windows or Linux, that it is running on which is obtained from the “User-Agent” header of a HTTP request."
PageAction,userAgentVersion,The browser’s reported software version which is obtained from the “User-Agent” header of an HTTP request.
PageView,appId,"The ID of your application, as recorded by New Relic."
PageView,appName,The name of the application that handled the request as shown in New Relic Browser.
PageView,asn,Autonomous System Number: a unique number identifying a group of IP networks that serves the content to the end-user.
PageView,asnLatitude,The latitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's latitude.
PageView,asnLongitude,The longitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's longitude.
PageView,asnOrganization,"The organization that owns the Autonomous System Number. Often an ISP, sometimes a private company or institution."
PageView,backendDuration,The back-end response time in seconds.
PageView,browserTransactionName,The transaction name (page view group) as it appears in New Relic Browser.
PageView,city,"The city in which the PageView event occurred, such as Portland or Seattle."
PageView,connectionSetupDuration,The time to establish a connection with the server in seconds (inclusive of secureHandshakeDuration). Derived from the Navigation Timing API as connectEnd minus connectStart.
PageView,countryCode,"The country from which the browser initiated the page load. For a list of country codes, see ISO 3166-1 alpha-2."
PageView,deviceType,"The type of device that loaded the page: either mobile, tablet, or desktop."
PageView,dnsLookupDuration,The time to resolve the DNS record for the top-level resource (in seconds). Derived from the Navigation Timing API as domainLookupEnd minus domainLookupStart.
PageView,domain,The domain portion of the request URL.
PageView,domProcessingDuration,The time it takes to parse the HTML into a DOM and retrieve or execute synchronous scripts.
PageView,duration,The browser response time in seconds. Derived from the Navigation Timing API as loadEventEnd minus navigationStart. Inclusive of other duration measurements.
PageView,httpResponseCode,The HTTP response code associated with the transaction.
PageView,name,The name of the invoked web transaction. For example: Controller/customers/show.
PageView,networkDuration,"The total time spent in redirects as well as in requesting and receiving HTML (in seconds). If webAppDuration (server side timing information) is not available, time on the server will be included in this duration."
PageView,pageRenderingDuration,"The page rendering phase is the time between DOM completion (domContentLoadedEventEnd) and the window load event (loadEventEnd), in seconds. This phase measures browser-side processing and display of the page content."
PageView,pageUrl,The URL of the page that was loaded for the PageView. For example: http://www.newrelic.com. This URL does not include query parameters.
PageView,queueDuration,The total time the request waits for a service to initiate (in seconds).
PageView,regionCode,"The specific administrative division within a country where the PageView event occurred. In the United States, regions correspond to state codes, such as WA or NY. Outside the United States, a country's regions correspond to numerical codes."
PageView,request.headers.contentLength,Incoming request size in bytes as read from the Content-Length HTTP request header.
PageView,request.method,The HTTP request method used. For example: `POST` or `GET`.
PageView,response.headers.contentType,"For an HTTP response, the data type of the returned response. For example: `text/html` or `application/json`."
PageView,secureHandshakeDuration,"A subset of connectionSetupDuration, the time to establish a TLS connection with the server. Derived from the Navigation Timing API as connectEnd minus secureConnectionStart (in seconds)."
PageView,session,A unique identifier for a single session. Sessions expire when the user closes the browser. A new identifier will be assigned when the user opens up a new browser window.
PageView,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
PageView,totalTime,"The sum of all async components' duration, in seconds. An async component is a method or function where there is no instrumented encapsulating method or function."
PageView,userAgentName,"The browser’s name, such as Chrome and Firefox, obtained from the “User-Agent” header of an HTTP request."
PageView,userAgentOS,"The browser’s reported operating system, such as Windows or Linux, that it is running on which is obtained from the “User-Agent” header of a HTTP request."
PageView,userAgentVersion,The browser’s reported software version which is obtained from the “User-Agent” header of an HTTP request.
PageView,webAppDuration,The total server-side response time for the top-level resource of the PageView (in seconds) as measured by the APM agent.
ProcessSample,agentName,The name of the agent (Infrastructure).
ProcessSample,agentVersion,The version of the New Relic Infrastructure agent.
ProcessSample,commandLine,The full command line for the current process. This command line will be sanitized by default to strip options and arguments from the command line to prevent accidental leakage of private information.
ProcessSample,commandName,The base name of the command line's path to the process's form.
ProcessSample,contained,Returns true if the process is running inside a container; false if not inside a container.
ProcessSample,containerId,"For processes running inside a Docker container, the unique Docker container ID  for this process."
ProcessSample,containerImage,"For processes running inside a Docker container, the Docker image ID  for the image this process is based on."
ProcessSample,containerImageName,"For processes running inside a Docker container, the Docker image name  for this process."
ProcessSample,containerLabel_KEY,"For processes running inside a Docker container, the Docker label  associated with this process."
ProcessSample,containerName,"For processes running inside a Docker container, the Docker container name  for this process"
ProcessSample,cpuPercent,"The combined CPU usage (of all types, including system, user, I/O, depending on platform), by CPU core, for this process at a single point in time. For systems with more than one CPU core, this percentage may be greater than 100%."
ProcessSample,cpuSystemPercent,The system-time CPU usage component used by the process.
ProcessSample,cpuUserPercent,The user-time CPU usage component used by the process.
ProcessSample,entityID,New Relic's unique ID number for the entity that is reporting data. This is used by New Relic to distinguish between customers and their entities.
ProcessSample,fullHostname,The fully qualified (DNS) hostname.
ProcessSample,hostname,The short version of the entity's name.
ProcessSample,ioReadBytesPerSecond,The number of bytes read from all storage devices per second.
ProcessSample,ioReadCountPerSecond,The number of disk read operations by the process per second.
ProcessSample,ioTotalReadBytes,Counts bytes that the process caused to be fetched from the storage layer.
ProcessSample,ioTotalReadCount,Cumulative number of disk read operations by this process.
ProcessSample,ioTotalWriteBytes,Counts bytes that the process caused to be sent to the storage layer.
ProcessSample,ioTotalWriteCount,Cumulative number of disk write operations by this process.
ProcessSample,ioWriteBytesPerSecond,The number of bytes written by this process per second.
ProcessSample,ioWriteCountPerSecond,The number of disk write operations by the process per second.
ProcessSample,kernelVersion,"The Linux kernel version, in string format."
ProcessSample,linuxDistribution,The name of the Linux distribution the server is using.
ProcessSample,memoryResidentSizeBytes,"The total amount of physical memory in use for the process, in bytes."
ProcessSample,memoryVirtualSizeBytes,"The total amount of virtual memory reserved for the process, in bytes."
ProcessSample,netIoTotalReceivedPackets,Cumulative number of net packets received by this process.
ProcessSample,netIoTotalSentPackets,Cumulative number of net packets transmitted by this process.
ProcessSample,operatingSystem,The operating system on which the agent is installed.
ProcessSample,operatingSystem,The operating system on which the agent is installed.
ProcessSample,parentProcessId,The unique parent identification number (PID) for this process.
ProcessSample,processDisplayName,The display name (friendly name) of the process.
ProcessSample,processId,The unique process identification number for this process.
ProcessSample,state,The current process status as a platform-specific state name. For example: running or sleeping.
ProcessSample,threadCount,The number of threads active for this process.
ProcessSample,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
ProcessSample,userId,The user identifier under which the process is running.
ProcessSample,userName,"The username of the owner of the process; for example, root or ubuntu."
ProcessSample,windowsFamily,The Windows family indicates whether the OS is a server or desktop targeted system.
ProcessSample,windowsPlatform,The full product name of the installed version of Windows.
ProcessSample,windowsVersion,The combined Windows version and build-number string of the OS.
StorageSample,agentName,The name of the agent (Infrastructure).
StorageSample,agentVersion,The version of the New Relic Infrastructure agent.
StorageSample,device,The device name.
StorageSample,diskFreeBytes,"The cumulative disk space that is free across all supported devices. (To find per-device values, use StorageSample events.)"
StorageSample,diskFreePercent,The cumulative disk emptiness percentage.
StorageSample,diskTotalBytes,The cumulative total disk space on system.
StorageSample,diskUsedBytes,"The cumulative disk space used across all supported devices, in bytes."
StorageSample,diskUsedPercent,The cumulative disk fullness percentage.
StorageSample,entityAndMountPoint,A unique identifier concatenating the entityId and mountPoint attributes.
StorageSample,entityID,New Relic's unique ID number for the entity that is reporting data. This is used by New Relic to distinguish between customers and their entities.
StorageSample,filesystemType,The operating system's specific file system type. For example: xfs or ext4.
StorageSample,fullHostname,The fully qualified (DNS) hostname.
StorageSample,hostname,The short version of the entity's name.
StorageSample,isReadOnly,"If the system is set to be read-only, this value will be true, otherwise false. These values are string literals, not booleans, to allow for faceting functionality in New Relic Insights."
StorageSample,kernelVersion,"The Linux kernel version, in string format."
StorageSample,linuxDistribution,The name of the Linux distribution the server is using.
StorageSample,mountPoint,The location of the device in the operating system's file system.
StorageSample,operatingSystem,The operating system on which the agent is installed.
StorageSample,operatingSystem,The operating system on which the agent is installed.
StorageSample,readBytesPerSecond,The number of bytes read per second from the device during the last sampling period.
StorageSample,readIoPerSecond,The average number of read I/O operations per second during the sampling period.
StorageSample,readUtilizationPercent,The percent of totalUtilizationPercent dedicated to read I/O operations.
StorageSample,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
StorageSample,totalUtilizationPercent,The percent of time spent waiting for read or write disk I/O operations.
StorageSample,windowsFamily,The Windows family indicates whether the OS is a server or desktop targeted system.
StorageSample,windowsPlatform,The full product name of the installed version of Windows.
StorageSample,windowsVersion,The combined Windows version and build-number string of the OS.
StorageSample,writeBytesPerSecond,The number of bytes per second written to the device during the last sampling period.
StorageSample,writeIoPerSecond,The average number of write I/O operations per second during the sample period.
StorageSample,writeUtilizationPercent,The percent of totalUtilizationPercent dedicated to write I/O operations.
Span,appId,The unique identifier assigned by New Relic for the service/application where the Transaction was created. Ex: 6637898.
Span,appName,The application name set in the New Relic agent configuration.
Span,category,"The span type category, such as generic, datastore, or http (external). The `category` defines the type of span and dictates UI display options, such as the charts available, and the collection of additional attributes."
Span,component,"For datastore spans: the database vendor or driver. Ex: Redis, ActiveRecord, MySql. For external spans: the framework used to make the connection. Ex: OkHttp, Net::HTTP. Reported when the attribute category = datastore or external."
Span,containerId,The New Relic APM agent collects the containerId when running in a containerized context.
Span,db.instance,"The database name. For example, the name of the database for a given JDBC database connection URL in Java. Ex: `dbc.url=""jdbc:mysql://mysql-db.servers.net:3306/accounts` the `b.instance`value is accounts.
Reported when the attribute category = datastore."
Span,db.statement,"The database statement in the format most permissive by configuration. Ex: for component = MySQL, SELECT * FROM accounts or for component = memcached, get account/access_level/1234.
Reported when the attribute category = datastore."
Span,duration,Span's elapsed time in seconds. Ex: 0.0016667842864990234
Span,entityGuid,"The GUID, assigned by New Relic, for the New Relic-monitored entity. This is used in  the distributed tracing trace context payload for correlation. entityGuid is stored as a Base64 encoded value."
Span,guid,The segment identifier. This is equivalent to `spanID` in OpenTracing semantics. Ex: 7156abe712d110f9.
Span,host,"The name of the application host that processed this request, as identified by the reporting agent. Ex: ip-10-1-34-88,
ede2fff1efbe, apphost.domain.com."
Span,http.method,"The HTTP method or language method / function used for the call. Reported when the attribute category = http. Ex: GET, POST."
Span,http.url,"External URI for the call, reported when attribute category = http. MUST NOT contain user, password, or query parameters."
Span,name,The span name that best represents the operation.
Span,parentId,The span parent's GUID (may not be present for the root span).
Span,peer.address,"The address of the datastore, including the host name and the port, path, or id. Ex: mysql-db.servers.net:3306. Reported when the attribute category = datastore."
Span,peer.hostname,The hostname of the database. Ex: mysql-db.servers.net. Reported when the attribute category = datastore.
Span,priority,A float value set by the first New Relic agent that’s part of the request that indicates priority for saving the trace in situations where the sampling reservoir has exceeded capacity.
Span,realAgentId,The ID of the New Relic agent that is reporting.
Span,sampled,Whether the request route was chosen to be sampled for tracing.
Span,span.kind,"For spans that represent entry or exit into the process, the value for span.kind will be server for entry or client for exit. Datastore and external (http) spans will always have the value client."
Span,timestamp,Unix timestamp in milliseconds when the span started. Ex: 1548271835649
Span,traceId,The unique correlation ID used to identify a single request as it crosses inter and intra process boundaries. The traceId is the unique identifier that allows linking spans in a distributed trace. Ex: 6ff9fa3b3f317d35
Span,transactionId,The GUID of the New Relic Transaction associated with the span. Ex: 82ba2b6d3a4984c7
Span,type,The New Relic event type. For example: `Transaction` or `Span`.
SyntheticCheck,duration,"The total time between the beginning of the first HTTP request and the end of the final HTTP request, in milliseconds."
SyntheticCheck,error,"Error message returned during the monitor run, if an error message was received."
SyntheticCheck,id,A unique number identifying this monitor check.
SyntheticCheck,location,"The location from which the monitor check ran. For example, AWS_US_EAST_1 identifies a location on the east coast of the United States."
SyntheticCheck,locationLabel,The check location (user friendly).
SyntheticCheck,monitorId,A unique number identifying a particular monitor.
SyntheticCheck,monitorName,"The name of the monitor, as shown in the Synthetics interface."
SyntheticCheck,result,Whether the monitor run succeeded.
SyntheticCheck,timestamp,The start time of the job in epoch milliseconds.
SyntheticCheck,totalRequestBodySize,"The size of the body request to the host, in bytes."
SyntheticCheck,totalRequestHeaderSize,"The size of the header request to the host, in bytes."
SyntheticCheck,totalResponseBodySize,"The size of the response body returned by the host, in bytes."
SyntheticCheck,totalResponseHeaderSize,"The size of the response header returned by the host, in bytes."
SyntheticCheck,type,"The monitor type. Options include: SIMPLE, BROWSER, SCRIPT_BROWSER, API_TEST."
SyntheticCheck,typeLabel,The user-friendly name of the monitor type.
SyntheticRequest,checkId,The unique identifier of the check that triggered this request.
SyntheticRequest,contentCategory,"A generalized version of the media type of the content returned by the host; for example, html or javascript. To query the exact media type, use the contentType attribute."
SyntheticRequest,contentType,"The media type [external link] of the content returned by the host; for example, text/html or image/gif."
SyntheticRequest,domain,"The domain portion of the request URL. To retrieve the entire URL, use the URL attribute."
SyntheticRequest,duration,"The total time for this request, in milliseconds."
SyntheticRequest,durationBlocked,"The total time this request was blocked, in milliseconds."
SyntheticRequest,durationConnect,"The total time this request was establishing a connection, in milliseconds. This is inclusive of the timing from durationSSL."
SyntheticRequest,durationDNS,"The total time this request resolving DNS, in milliseconds."
SyntheticRequest,durationReceive,"The total time this request was receiving data, in milliseconds."
SyntheticRequest,durationSend,"The total time this request was sending data, in milliseconds."
SyntheticRequest,durationSSL,"The total time spent establishing an SSL connection, in milliseconds."
SyntheticRequest,durationWait,"The total time this request was waiting, in milliseconds."
SyntheticRequest,externalResource,Whether the resource returned by the host is from an external domain. Returns TRUE for an external domain.
SyntheticRequest,host,The hostname of the server that processed the request.
SyntheticRequest,id,A unique number identifying this monitor check.
SyntheticRequest,isAjax,"Whether the request is an AJAX request, determined by the HTTP_X_REQUESTED_WITH header."
SyntheticRequest,jobId,Alias for checkId.
SyntheticRequest,location,"The location from which the monitor check ran. For example, AWS_US_EAST_1 identifies a location on the east coast of the United States."
SyntheticRequest,locationLabel,The request location (user friendly).
SyntheticRequest,monitorName,"The name of the monitor, as shown in the Synthetics interface."
SyntheticRequest,onPageContentLoad,"The total time to completely load and parse the initial HTML document, in milliseconds. This does not include external resources such as stylesheets, images and subframes."
SyntheticRequest,onPageLoad,"The total time to load the page and all dependent resources, in milliseconds."
SyntheticRequest,pageref,The page request to which the requested resource belongs. Page requests are numbered from page_0 upward.
SyntheticRequest,path,"The path portion of the request URL. To retrieve the entire URL, use the URL attribute."
SyntheticRequest,requestBodySize,"The size of the body request to the host, in bytes."
SyntheticRequest,requestHeaderSize,"The size of the header request to the host, in bytes."
SyntheticRequest,responseBodySize,"The size of the response body from the host, in bytes."
SyntheticRequest,responseCode,"The HTTP response code returned by the host; for example, 200, 400, 503, atc."
SyntheticRequest,responseHeaderSize,"The size of the response header from the host, in bytes."
SyntheticRequest,serverIPAddress,The IP address of the server that processed the request.
SyntheticRequest,URL,The full request URL.
SyntheticRequest,verb,The protocol (such as GET or POST) used to make the request.
SyntheticsPrivateLocationStatus,checksPending,Count of how many checks are scheduled to run in that location.
SyntheticsPrivateLocationStatus,name,"The private location name that New Relic sets internally, based  on the accountId, location name, and private location key."
SyntheticsPrivateLocationStatus,timestamp,The start time of the job in epoch milliseconds.
SyntheticsPrivateMinion,minionId,The unique identifier of this minion.
SyntheticsPrivateMinion,minionJobsFailed,The number of jobs this minion has failed.
SyntheticsPrivateMinion,minionJobsFinished,The number of jobs this minion has finished.
SyntheticsPrivateMinion,minionJobsQueued,The number of jobs this minion is currently working on.
SyntheticsPrivateMinion,minionJobsReceived,The number of jobs this minion has received to process.
SyntheticsPrivateMinion,minionJobsStarted,The number of jobs this minion has started.
SyntheticsPrivateMinion,minionJobsTimedout,The number of jobs that reached the maximum execution time.
